providlyear;ns;ew;objekt;typmetod;Ag (ppb);Al (ppm);As (ppm);Au (ppb);Ba (ppm);Be (ppm);Bi (ppm);Ca (ppm);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Dy (ppm);Er (ppm);Eu (ppm);Fe (ppm);Ga (ppm);Gd (ppm);Hf (ppm);Ho (ppm);K (ppm);La (ppm);Li (ppm);Lu (ppm);Mg (ppm);Mn (ppm);Mo (ppm);Na (ppm);Nb (ppm);Nd (ppm);Ni (ppm);P (ppm);Pb (ppm);Pd (ppb);Pr (ppm);Rb (ppm);Rh (ppb);S (ppm);Sb (ppm);Sc (ppm);Sm (ppm);Sn (ppm);Sr (ppm);Tb (ppm);Te (ppb);Th (ppm);Ti (ppm);Tl (ppm);Tm (ppm);U (ppm);V (ppm);W (ppm);Y (ppm);Yb (ppm);Zn (ppm);Zr (ppm)
198514081;7146516;640131;KJPA;ICPSGUX;73.9620;;;1.4560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.8270;;;;;;;;16.6380;;;;;;;;;;;
198514101;7146381;676317;KJPA;ICPALSX;;8198.0996;12.3860;;33.9100;0.3000;0.1420;4087.5701;0.1330;52.1410;4.1720;23.9150;0.8310;10.1360;3.0290;1.7230;0.4700;11037.7002;2.6760;3.5210;0.3760;0.6140;905.5450;20.7200;8.5410;0.2010;2519.8601;172.5080;0.2540;239.2570;2.5970;20.7540;14.0830;1072.2500;5.5600;171.0000;5.4230;10.3250;;31.7270;0.1980;3.2800;4.3500;1.0470;22.2910;0.5250;;5.2380;1341.5400;0.1260;0.2310;1.4370;22.9120;0.7250;15.8060;1.5410;29.2020;13.3240
198514101;7146381;676317;KJPA;ICPSGUX;59.6530;;;7.5060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.3570;;;;;;;;12.8360;;;;;;;;;;;
198514130;7133719;674818;KJPA;ICPALSX;;10110.0996;8.2120;;41.3910;0.3650;0.1670;4684.0898;0.1040;71.6170;5.0670;20.1520;1.1950;7.5350;4.0110;1.9510;0.5400;11697.5996;3.0890;5.3070;0.4030;0.7520;1313.5700;32.1970;12.5200;0.2250;2472.8201;200.9800;0.2440;306.9680;3.3290;32.9840;14.3680;946.5640;6.6940;47.9000;8.5580;15.7760;;31.6930;0.1670;3.3280;6.6200;1.1920;26.4110;0.7490;;13.5120;1313.4700;0.2010;0.2570;2.1960;23.1930;0.6250;17.6010;1.6090;26.6090;13.7250
198514130;7133719;674818;KJPA;ICPSGUX;53.6000;;;0.9760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.3650;;;;;;;;8.0920;;;;;;;;;;;
198514142;7135008;688607;KJPA;ICPALSX;;13534.5000;19.3770;;50.9640;0.6900;0.2300;3924.5400;0.2090;75.4450;8.7830;36.4410;1.5720;19.1350;2.8890;1.5700;0.5060;16978.8008;3.9090;3.5820;0.4180;0.5650;1596.1300;28.5620;19.1920;0.1870;3821.2300;243.4000;0.5110;200.2490;2.9140;23.7230;25.7740;1041.8300;11.9740;215.0000;6.6400;18.7110;;58.7200;0.3090;4.0290;4.3520;1.2410;23.4280;0.5360;;8.1040;1413.6200;0.1840;0.2110;1.8470;29.7000;0.8670;16.8000;1.4070;67.5530;18.0080
198514142;7135008;688607;KJPA;ICPSGUX;67.9050;;;9.0640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.8680;;;;;;;;20.4510;;;;;;;;;;;
198514174;7148312;685825;KJPA;ICPALSX;;11410.2998;8.8800;;67.9620;0.3830;0.1270;5873.9399;0.1090;70.1210;5.7670;24.2110;1.1170;27.0760;3.8720;2.0330;0.5540;13770.0000;4.0650;4.9470;0.4510;0.7640;1657.2200;26.9110;11.9820;0.2460;3357.5400;200.3580;0.1990;322.4750;2.9220;28.7440;17.4010;992.5050;6.2450;87.3000;7.4000;18.8400;;23.0000;0.2010;4.6470;5.8140;1.1200;22.9850;0.6970;;8.9150;1683.9500;0.2280;0.2690;2.2800;26.7260;0.8890;20.2600;1.7610;34.7900;17.0600
198514174;7148312;685825;KJPA;ICPSGUX;50.7270;;;1.2790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.3520;;;;;;;;10.6930;;;;;;;;;;;
198514207;7110338;663222;KJPA;ICPALSX;;11524.4004;5.0540;;42.6150;0.5320;0.1440;4000.0901;0.1320;72.0490;4.7070;26.9610;2.2670;12.8930;3.4450;1.7200;0.6960;16317.2002;4.1010;4.4900;0.4330;0.6380;1159.5601;31.5900;17.4320;0.2100;3425.7800;190.2080;0.6330;249.5940;3.4160;30.5120;15.0830;883.4400;7.0330;44.6000;7.9120;18.6030;;73.1800;0.1070;4.1770;5.6880;1.5320;30.8830;0.6280;;9.0540;1765.8900;0.2370;0.2280;1.7590;28.1970;1.0100;15.3530;1.4770;35.9930;13.4590
198514207;7110338;663222;KJPA;ICPSGUX;55.0910;;;0.5610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.3630;;;;;;;;12.5510;;;;;;;;;;;
198514253;7109020;650724;KJPA;ICPALSX;;8608.3496;10.9230;;32.1040;0.3950;0.3130;3196.4800;0.1240;54.9340;3.5740;19.6880;2.6740;11.4190;3.1760;1.5640;0.5340;11967.4004;3.2510;3.9330;0.3220;0.5820;1880.2100;26.1610;18.9680;0.1730;2943.3001;160.5810;0.5400;161.2570;2.8020;24.5750;12.8680;848.1250;7.5120;66.3000;6.4030;21.8200;;24.7000;0.0872;3.1670;4.9880;1.3090;21.0900;0.5690;;8.6080;1283.2800;0.2510;0.2060;2.2010;21.8310;0.8360;15.3780;1.2870;33.8350;11.9570
198514253;7109020;650724;KJPA;ICPSGUX;62.4040;;;2.2370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.8070;;;;;;;;10.8620;;;;;;;;;;;
198514277;7122237;653234;KJPA;ICPALSX;;13275.2998;6.3700;;65.2580;0.8430;0.1830;5152.5000;0.1690;108.6410;5.6780;24.6420;3.1030;13.5220;5.3920;2.7580;0.9060;20859.4004;6.0120;6.8310;0.6190;1.0240;2430.4199;46.6410;24.9340;0.3430;4244.5000;261.0170;0.9100;274.8820;3.5910;45.5950;14.6980;992.4770;11.0930;93.1000;11.9480;36.2100;;28.1730;0.1430;5.7570;8.6620;1.9680;33.0950;0.9640;;12.9970;2104.4900;0.4480;0.3640;2.9745;28.8810;0.7420;25.1560;2.3740;86.5710;19.6830
198514277;7122237;653234;KJPA;ICPSGUX;71.5770;;;2.0710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.9680;;;;;;;;10.7070;;;;;;;;;;;
198514282;7121131;663550;KJPA;ICPALSX;;11525.7998;7.4980;;61.6640;0.6280;0.2620;4843.1099;0.1580;84.2940;6.5110;26.3270;2.6710;18.1390;4.0380;2.0740;0.6430;15633.7002;5.0310;5.1990;0.5370;0.7620;3142.7000;33.4930;19.8940;0.2390;3255.5100;220.8380;0.4320;582.2340;4.3500;32.7950;22.1730;955.1030;8.3840;70.2000;8.4980;32.4260;;30.2970;0.1400;4.9090;6.5240;1.6780;32.4700;0.7420;;11.6660;1881.6899;0.3100;0.2780;2.6300;30.2730;0.6560;20.7460;1.7710;55.1820;18.7020
198514282;7121131;663550;KJPA;ICPSGUX;81.6350;;;0.9620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.4210;;;;;;;;12.1470;;;;;;;;;;;
198618009;7084742;562949;KJPA;ICPALSX;;12470.2998;12.0170;;45.9940;0.8840;0.4730;5286.9600;0.1040;122.9880;8.6740;23.4680;4.1230;22.6270;3.9430;2.0910;0.7420;19290.1992;4.2980;5.2150;0.3590;0.7750;1515.0700;36.6920;19.1800;0.2600;4509.1299;286.1710;1.4970;297.4220;2.7660;33.9050;21.2360;911.7080;17.5490;62.7000;9.0950;24.9560;;30.3760;0.2220;4.4450;6.6440;1.2060;18.6950;0.7190;;19.0410;1593.9301;0.3030;0.2810;4.2390;30.8000;0.5930;19.5680;1.7770;59.7900;12.2660
198618009;7084742;562949;KJPA;ICPSGUX;39.9070;;;0.0900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.7650;;;;;;;;17.5630;;;;;;;;;;;
198618020;7097069;554686;KJPA;ICPALSX;;16650.3008;6.4330;;49.9500;0.6740;0.2290;4844.5898;0.1310;60.4730;8.5350;38.6280;2.1710;16.0160;2.7280;1.4200;0.7560;23925.5996;4.7980;3.6630;0.2230;0.5200;1978.2700;28.2280;18.4660;0.1720;6803.1499;274.6860;1.6150;396.4160;2.0040;24.6730;26.2680;728.4660;11.0700;45.1000;6.6960;19.1980;;29.7100;0.1870;5.0840;4.7360;0.8790;16.8750;0.5110;;6.6810;1801.2100;0.2770;0.1930;2.1500;41.4440;0.3060;13.8700;1.2960;46.7080;9.5800
198618020;7097069;554686;KJPA;ICPSGUX;48.0040;;;0.5200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.9550;;;;;;;;30.8770;;;;;;;;;;;
198618036;7094687;542698;KJPA;ICPALSX;;17230.6992;13.5010;;45.2270;0.6000;0.1910;5044.9502;0.1750;64.2470;11.6700;39.8550;1.7460;24.7890;3.2300;1.7250;0.8230;26132.8008;4.9300;4.0210;0.2620;0.6270;1855.4301;27.2890;16.0750;0.2010;7688.2500;328.0320;3.2040;346.7520;2.6280;25.2390;32.7420;678.1750;13.5930;56.6000;6.7910;17.2040;;46.7360;0.3960;4.9370;5.0620;0.8730;20.0010;0.5710;;7.2570;1900.9800;0.3440;0.2310;2.4310;45.0910;0.3090;16.7680;1.4580;63.4620;12.4190
198618036;7094687;542698;KJPA;ICPSGUX;50.5880;;;0.9340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8750;;;;;;;;41.2020;;;;;;;;;;;
198618055;7086849;551107;KJPA;ICPALSX;;22301.9004;11.8170;;55.5140;0.7520;0.2260;6249.6401;0.1750;100.3280;12.2880;54.5210;2.4300;20.2470;3.7220;1.8930;0.9450;34772.8984;6.6510;4.7160;0.3340;0.7400;1970.9600;39.0120;20.8560;0.2480;10239.2998;388.5100;1.9730;530.5450;3.2220;33.6370;34.9830;719.9590;16.2360;284.0000;9.3120;22.4820;;49.5440;0.3200;6.4090;6.2790;1.2210;24.0560;0.6520;;9.1500;2696.2500;0.3170;0.2760;2.4100;58.6210;0.5390;19.8460;1.7560;70.1570;14.7710
198618055;7086849;551107;KJPA;ICPSGUX;110.3010;;;1.9260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.6840;;;;;;;;36.9300;;;;;;;;;;;
198618075;7084220;539612;KJPA;ICPALSX;;15206.5000;9.5490;;64.3790;0.8010;0.2070;3306.5701;0.1460;64.9570;10.4490;36.1980;3.1390;22.4470;3.0540;1.4650;0.8580;25861.0996;4.9710;3.8530;0.4260;0.5770;2501.4199;27.7010;19.1460;0.1780;5732.1001;323.2710;4.7300;273.4920;2.0820;26.6330;25.9380;474.6340;15.7780;271.0000;7.1960;27.8430;;30.3750;0.4400;4.6560;4.8390;0.8560;17.4920;0.5320;;8.2500;1589.5700;0.4940;0.2090;3.8090;42.0700;0.1990;14.3520;1.3310;66.2040;20.5870
198618075;7084220;539612;KJPA;ICPSGUX;76.7060;;;2.0470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.7340;;;;;;;;41.1500;;;;;;;;;;;
198618104;7096907;564435;KJPA;ICPALSX;;16536.8008;11.2620;;60.2010;0.7990;0.3890;3333.2100;0.1080;55.9910;8.0600;28.4030;2.7150;17.2500;2.5020;1.2520;0.6470;23365.1992;4.5360;3.3310;0.1730;0.4660;1984.2600;23.5790;24.4690;0.1490;4289.8501;240.6300;4.0800;262.4080;3.2070;22.2040;22.7230;467.9970;25.9340;29.5000;5.8970;25.0060;;78.2340;0.3270;4.3690;4.3710;0.8260;15.0050;0.4590;;5.9730;1367.5300;0.4080;0.1670;3.1360;33.7500;0.3280;13.8270;1.1280;47.8230;9.8660
198618104;7096907;564435;KJPA;ICPSGUX;52.3190;;;4.1430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.3530;;;;;;;;30.3570;;;;;;;;;;;
198618143;7084671;576047;KJPA;ICPALSX;;13311.0000;7.9820;;43.9580;0.5080;0.3690;4766.5000;0.0815;56.5700;5.2160;22.4700;2.1670;13.7890;2.8130;1.4790;0.6120;17699.4004;4.5100;3.7270;0.3140;0.5340;1574.1200;26.3440;15.6350;0.1760;3645.9299;200.7300;1.4110;388.2170;3.4090;25.4320;12.9360;914.3610;14.5350;57.5000;6.5570;16.3370;;45.4700;0.1840;4.0250;5.0890;1.1330;20.8710;0.5090;;8.0710;1463.3001;0.3030;0.1970;2.8160;30.0420;0.6620;13.6370;1.2430;32.8240;11.5510
198618143;7084671;576047;KJPA;ICPSGUX;53.2050;;;3.2410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.8070;;;;;;;;13.9720;;;;;;;;;;;
198618172;7097214;576004;KJPA;ICPALSX;;18814.4004;2.3550;;87.7750;0.5690;0.1720;4886.3398;0.0926;82.7550;7.1870;28.4040;3.0690;12.8650;3.6260;1.6630;0.8150;17057.6992;5.0300;4.7210;0.2460;0.6820;1084.9399;33.4950;21.6930;0.2060;4601.4399;207.0950;0.4670;470.9620;3.5360;31.4790;18.2580;881.4220;16.3910;133.0000;8.4940;15.1320;;118.5370;0.0827;4.8960;6.0940;1.2200;24.3040;0.6390;;6.5230;1698.9800;0.3100;0.2360;1.8550;31.5270;0.6890;16.6230;1.4360;78.0140;8.8370
198618172;7097214;576004;KJPA;ICPSGUX;121.0320;;;1.7760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.8580;;;;;;;;10.2800;;;;;;;;;;;
198618181;7097472;588239;KJPA;ICPALSX;;6934.2598;2.4700;;40.5870;0.3110;0.1370;3569.5701;0.1020;75.9680;4.1100;13.5130;1.0520;7.9940;3.7630;1.7720;0.5320;12357.2998;2.7590;5.0650;0.2420;0.7080;969.1920;33.2200;10.3710;0.2060;2385.3201;162.3200;0.7080;172.3120;2.2290;34.0750;9.6840;973.8580;12.9310;118.0000;8.8550;12.1040;;25.9440;0.1020;2.7430;6.6010;0.6540;14.8070;0.6880;;10.0520;1005.0600;0.1870;0.2510;2.1070;16.5950;0.3080;18.6920;1.5230;37.5490;8.7920
198618181;7097472;588239;KJPA;ICPSGUX;56.0770;;;3.0860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.4550;;;;;;;;9.7380;;;;;;;;;;;
198618220;7048418;553413;KJPA;ICPALSX;;12387.5996;4.9710;;38.0160;0.6990;0.1500;5299.9702;0.0871;85.3780;7.5350;16.9180;1.8920;13.1760;3.8320;2.0330;0.7460;20934.6992;4.3180;5.0060;0.2480;0.7470;1436.0100;30.2880;12.0490;0.2720;3373.2800;520.3290;0.7030;239.1730;3.4370;31.6710;15.0280;955.8150;12.2820;53.4000;8.1290;17.4160;;33.9270;0.2180;4.4540;6.4230;1.0380;26.8660;0.7030;;7.2090;1717.5300;0.2600;0.2740;1.3690;29.9910;0.2980;23.1820;1.8400;45.8060;12.3880
198618220;7048418;553413;KJPA;ICPSGUX;26.5330;;;1.2690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.7450;;;;;;;;30.8350;;;;;;;;;;;
198618230;7048810;541305;KJPA;ICPALSX;;13913.7002;7.6090;;57.2240;1.0370;0.2100;5502.4902;0.1400;113.0570;10.4250;22.1300;2.8190;23.9640;6.8800;3.6980;1.5610;24557.4004;5.0030;8.8720;0.4500;1.3680;2073.7400;56.2230;17.6500;0.4510;4263.7798;725.2670;1.4740;257.4610;3.4050;55.3330;22.5670;839.6470;23.3670;74.5000;14.6610;26.3420;;24.0670;0.3880;6.0950;11.2290;1.2560;39.5960;1.2920;;11.1460;1590.8200;0.4290;0.4900;2.1490;34.9660;0.2930;34.1040;3.2180;58.2940;17.8580
198618230;7048810;541305;KJPA;ICPSGUX;63.0400;;;0.7690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.5450;;;;;;;;41.1460;;;;;;;;;;;
198618241;7059816;541233;KJPA;ICPALSX;;11875.2002;9.2440;;47.6900;0.7360;0.2100;5219.2900;0.1400;76.9010;11.4560;18.7770;2.8570;23.1610;5.9800;3.0490;1.4690;26462.8008;4.4790;7.5260;0.3980;1.1720;1812.1200;41.7610;15.5860;0.3920;3675.4199;891.7580;2.2110;186.8380;2.4760;44.2520;21.7560;1067.8001;22.3960;226.0000;11.2360;21.9800;;21.6900;0.3720;6.1000;9.3520;0.9700;29.2440;1.0560;;8.2030;1419.3700;0.3750;0.4040;1.8510;33.4380;0.1970;31.9300;2.6730;68.0270;16.8790
198618241;7059816;541233;KJPA;ICPSGUX;57.9200;;;0.7750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.8730;;;;;;;;49.3500;;;;;;;;;;;
198618244;7060010;564404;KJPA;ICPALSX;;13745.0996;8.2710;;33.3810;0.6070;0.1360;3667.3999;0.1030;80.2080;6.2980;18.8800;1.9850;11.7160;3.2730;1.8140;0.6750;20529.0000;4.3590;4.2240;0.2510;0.6560;903.6530;28.3840;16.7300;0.2230;3691.7300;213.6610;0.9340;221.0010;3.0890;27.4040;12.7930;858.4320;11.9500;48.8000;7.3030;17.9780;;36.8980;0.2090;4.8600;5.3080;1.1150;14.4580;0.5940;;5.5150;1612.0300;0.2790;0.2440;1.5250;28.3800;0.4970;19.2790;1.5860;43.1570;10.6670
198618244;7060010;564404;KJPA;ICPSGUX;52.9870;;;0.1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.6020;;;;;;;;21.4250;;;;;;;;;;;
198618265;7072328;561223;KJPA;ICPALSX;;7600.0400;8.8380;;23.3690;0.3780;0.1740;4482.7798;0.1520;57.9540;5.9780;17.6720;1.0790;7.0630;3.5130;1.8950;0.6320;13593.0000;2.8840;4.3700;0.1910;0.6900;898.9180;24.9470;9.3530;0.2430;2463.8401;203.0860;1.2200;198.2260;2.6330;24.9990;12.1190;1099.8300;10.1000;38.3000;6.5040;10.0080;;18.9250;0.2000;3.5370;5.2720;1.0260;15.9690;0.6300;;5.7150;1221.8400;0.1700;0.2590;1.6480;23.6760;0.6830;18.7320;1.6940;27.5430;7.6790
198618265;7072328;561223;KJPA;ICPSGUX;22.4540;;;0.6200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.8520;;;;;;;;14.4800;;;;;;;;;;;
198618275;7071714;540749;KJPA;ICPALSX;;9867.6602;8.9220;;35.3450;0.5910;0.1830;3907.8201;0.2080;60.2240;7.9150;19.1080;1.8300;13.5320;3.0830;1.6240;0.7360;16859.0996;3.1150;4.0800;0.3490;0.5900;1402.9700;23.5140;11.0660;0.1950;3073.1101;308.0580;2.4130;298.1480;2.3880;24.5600;15.3580;826.3760;18.5400;59.9000;6.3060;13.7310;;26.4360;0.3620;3.2990;4.8890;0.8260;17.0420;0.5900;;6.9850;1130.6100;0.3570;0.2150;1.8290;26.6870;0.3160;14.3270;1.3860;49.2880;12.4780
198618275;7071714;540749;KJPA;ICPSGUX;48.4700;;;0.0720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.8270;;;;;;;;25.0350;;;;;;;;;;;
198618282;7071628;550321;KJPA;ICPALSX;;11691.0000;9.9100;;41.9520;0.5930;0.2310;3618.2300;0.1960;60.6820;8.9040;19.6110;2.0440;12.1700;3.2960;1.7070;0.7650;19471.8008;3.5750;4.4080;0.2250;0.6260;1463.0601;25.1180;13.2970;0.2100;3494.0000;295.7930;2.0760;231.6420;2.4170;26.1330;15.4770;684.4930;21.9730;48.3000;6.8320;17.0600;;40.1050;0.2900;3.7460;5.2650;0.8670;14.2360;0.6200;;6.5990;1302.8300;0.3680;0.2260;1.7640;27.9810;0.2810;15.8060;1.4630;42.9940;10.0320
198618282;7071628;550321;KJPA;ICPSGUX;41.8290;;;0.3380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.8230;;;;;;;;26.9570;;;;;;;;;;;
198618291;7061841;550224;KJPA;ICPALSX;;12271.5000;7.5160;;39.2810;0.5830;0.1790;6384.2100;0.1340;69.3360;8.5460;23.6890;1.6920;14.4300;3.8910;2.1410;0.9210;22937.0996;4.0910;5.1180;0.3220;0.7800;1703.2300;31.0630;11.9840;0.2610;4611.3701;433.5300;1.1570;353.5380;2.4980;31.4680;18.6270;1006.8900;12.8020;91.0000;8.1630;17.5930;;26.3570;0.2680;4.6860;6.1860;0.9520;27.1950;0.7120;;6.9430;1905.8600;0.2950;0.2900;1.6500;35.1700;0.2690;20.2460;1.8210;41.1080;12.9130
198618291;7061841;550224;KJPA;ICPSGUX;34.7140;;;0.6270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0770;;;;;;;;25.5720;;;;;;;;;;;
198618323;7048594;565150;KJPA;ICPALSX;;13129.7002;5.4080;;48.9420;0.6060;0.1480;6074.7002;0.0922;77.5530;7.9980;21.3670;2.0350;12.9150;4.1490;2.2720;0.8860;19867.0996;4.4210;5.4540;0.4010;0.8370;1830.1899;31.8450;14.4510;0.2870;3888.7800;380.0180;0.6750;395.0150;3.8040;33.0810;14.3810;1285.0501;11.0840;71.2000;8.3930;21.0520;;32.5990;0.2180;4.9380;6.5000;1.1540;27.9270;0.7800;;7.4520;1668.8500;0.3210;0.3160;1.6760;35.0210;0.3720;20.7350;1.9000;49.9080;13.1850
198618323;7048594;565150;KJPA;ICPSGUX;43.0820;;;0.3280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.5510;;;;;;;;19.3010;;;;;;;;;;;
198618363;7060339;588504;KJPA;ICPALSX;;9943.2998;3.0100;;39.3150;0.5040;0.1650;5269.5698;0.0643;79.9230;5.1050;20.3170;1.0490;6.5040;3.7490;1.9110;0.8220;14851.7998;3.8460;4.9680;0.2510;0.7200;923.7630;35.6520;11.3270;0.2360;3154.6299;217.2000;0.8870;328.1930;3.4740;32.0860;10.2860;1006.0800;8.5180;40.8000;8.5650;10.3120;;55.7520;0.1290;4.4990;6.2300;1.1660;22.8760;0.6880;;7.2550;1625.3700;0.1320;0.2520;2.0560;26.9790;0.4050;18.5820;1.6520;24.1930;8.9930
198618363;7060339;588504;KJPA;ICPSGUX;26.2020;;;0.8700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.1610;;;;;;;;7.7770;;;;;;;;;;;
198618365;7058846;574013;KJPA;ICPALSX;;18460.3008;9.3930;;87.9490;0.9280;0.3060;6514.8101;0.1680;80.4590;12.2290;29.4760;3.4890;17.8020;4.1840;2.2320;0.8670;30755.5996;7.8180;5.3970;0.3290;0.8170;1880.4500;34.7060;24.9950;0.2820;5952.1899;373.3470;1.4620;374.6360;3.3680;33.9810;23.0550;869.8420;15.3110;75.4000;8.8970;29.1000;;32.3830;0.3060;6.9200;6.6190;2.0070;20.9690;0.7560;;10.5160;2311.2500;0.3980;0.2960;2.3080;43.9930;0.7230;20.8670;1.9110;86.9830;14.4760
198618365;7058846;574013;KJPA;ICPSGUX;56.9500;;;0.8920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.6160;;;;;;;;25.4950;;;;;;;;;;;
198618367;7073165;576543;KJPA;ICPALSX;;7434.1201;6.1530;;22.5320;0.3790;0.2070;4341.3701;0.0906;56.7740;3.2320;13.7190;0.9220;6.3690;3.2800;1.6790;0.5480;11189.0996;2.4380;4.2120;0.2410;0.6350;760.4290;26.1000;9.5820;0.2030;2314.3401;163.1580;0.5240;222.3860;2.7340;26.0010;9.4600;840.6470;7.2700;35.8000;6.7480;8.2040;;24.9180;0.1180;2.9580;5.2740;0.9300;15.4950;0.5990;;7.8850;1138.7600;0.1240;0.2210;2.1010;17.9000;0.4690;16.2800;1.4170;24.9430;8.2150
198618367;7073165;576543;KJPA;ICPSGUX;43.9740;;;0.0640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.4980;;;;;;;;12.1620;;;;;;;;;;;
198618383;7073151;586477;KJPA;ICPALSX;;20830.5996;7.4540;;96.8730;0.8450;0.2400;5242.5601;0.1070;89.9640;9.3110;34.9550;2.5290;21.5490;2.7780;1.4240;0.7900;26204.9004;6.2040;3.8730;0.3550;0.5230;3262.7000;33.3570;21.3670;0.1690;6493.0698;267.8140;2.0850;383.1350;3.1920;28.3320;24.5430;566.9870;16.0050;59.0000;7.7540;25.8530;;58.3330;0.2500;5.8770;5.1750;1.2030;24.7610;0.5190;;6.8010;2200.8401;0.2850;0.2040;2.5360;43.4110;0.4020;15.5290;1.2400;50.8250;16.8540
198618383;7073151;586477;KJPA;ICPSGUX;108.6570;;;1.8730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.1800;;;;;;;;31.3530;;;;;;;;;;;
198618409;7085024;590242;KJPA;ICPALSX;;16612.0000;6.3960;;99.7840;0.9350;0.4280;4826.0200;0.1200;89.5290;9.0410;28.9000;3.3090;21.4400;3.9660;2.0550;0.6720;24592.5996;6.3450;4.8140;0.5090;0.7610;2644.7200;37.5870;24.5990;0.2310;4409.7202;432.5280;1.4850;264.5710;4.0750;35.3740;19.5680;1050.9900;37.0040;226.0000;9.2400;35.7090;;29.2260;0.1850;5.6570;7.2940;1.3710;20.4100;0.6840;;12.2300;1786.2400;0.3510;0.2680;4.4350;38.6070;0.5070;20.9550;1.6860;76.4480;21.1500
198618409;7085024;590242;KJPA;ICPSGUX;82.7700;;;1.2840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.2510;;;;;;;;23.1500;;;;;;;;;;;
198618412;7094792;613550;KJPA;ICPALSX;;14651.0996;5.2000;;110.6330;0.6590;0.3250;4248.4102;0.1260;153.5550;5.7400;20.1670;2.6340;13.6340;6.3400;3.1910;0.9890;22540.8008;6.1300;8.6780;0.5460;1.1960;2621.5901;62.4880;21.6680;0.3620;3961.5200;290.5760;1.2110;204.6710;2.9990;60.7210;14.0220;948.5270;17.1250;98.6000;15.7180;35.9860;;12.0490;0.1740;6.3020;11.4850;1.5440;22.9970;1.2070;;18.0480;1769.9100;0.3400;0.4280;5.4700;25.2070;0.7580;32.1600;2.6340;61.2520;21.2530
198618412;7094792;613550;KJPA;ICPSGUX;53.0400;;;0.6690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.4980;;;;;;;;16.3920;;;;;;;;;;;
198618428;7097464;600590;KJPA;ICPALSX;;12540.2998;4.1680;;81.3770;0.5730;0.1990;4128.6699;0.1010;84.9570;6.2650;23.4420;1.9330;13.3440;3.5110;1.7410;0.6310;18606.0996;4.9560;5.0640;0.4370;0.6600;2049.5801;37.6100;18.6860;0.2140;3792.8001;243.2620;1.2620;242.8900;3.7910;36.3350;17.6370;907.8310;13.7630;84.3000;9.4080;26.6720;;25.5190;0.1900;4.1280;6.8530;1.0350;22.4160;0.6930;;12.4110;1530.5200;0.2990;0.2250;2.6570;26.8310;0.4270;20.0830;1.4620;52.1630;17.0670
198618428;7097464;600590;KJPA;ICPSGUX;61.2500;;;0.9460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.3490;;;;;;;;17.2470;;;;;;;;;;;
