providlyear;ns;ew;objekt;typmetod;Ag (ppb);Al (ppm);As (ppm);Au (ppb);Ba (ppm);Be (ppm);Bi (ppm);Ca (ppm);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Dy (ppm);Er (ppm);Eu (ppm);Fe (ppm);Ga (ppm);Gd (ppm);Hf (ppm);Ho (ppm);K (ppm);La (ppm);Li (ppm);Lu (ppm);Mg (ppm);Mn (ppm);Mo (ppm);Na (ppm);Nb (ppm);Nd (ppm);Ni (ppm);P (ppm);Pb (ppm);Pd (ppb);Pr (ppm);Rb (ppm);Rh (ppb);S (ppm);Sb (ppm);Sc (ppm);Sm (ppm);Sn (ppm);Sr (ppm);Tb (ppm);Te (ppb);Th (ppm);Ti (ppm);Tl (ppm);Tm (ppm);U (ppm);V (ppm);W (ppm);Y (ppm);Yb (ppm);Zn (ppm);Zr (ppm)
198381180;6873730;553032;KJPA;ICPSGUX;49.0030;;;3.6660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.7710;;;;;;;;14.4810;;;;;;;;;;;
198381194;6874538;564543;KJPA;ICPALSX;;13776.0000;1.0700;;54.7790;0.7460;0.1510;4685.3198;0.0764;96.3860;4.9180;15.9600;1.2110;10.2340;6.4440;3.5380;0.6740;19361.8008;5.6240;7.2320;0.6760;1.3230;2953.1101;54.2360;10.4920;0.3860;2957.0300;274.9740;0.1850;247.9410;2.4500;48.2040;8.4760;602.2690;7.9300;96.9000;13.9420;21.3120;;22.0400;0.0729;5.8790;8.3060;2.2300;24.6750;1.1360;;14.2030;1854.7100;0.1790;0.4590;3.8250;28.0730;0.4420;54.9600;2.8040;35.6980;22.7030
198381194;6874538;564543;KJPA;ICPSGUX;25.9430;;;0.6660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.8500;;;;;;;;14.7460;;;;;;;;;;;
198381215;6862494;580423;KJPA;ICPALSX;;15888.4004;0.8020;;82.2020;0.7000;0.1370;6563.2300;0.0750;99.9220;8.6760;23.0680;3.1750;19.3740;5.1610;2.8100;0.7530;28652.5996;6.5930;5.9890;0.6680;1.0710;3957.0501;41.1200;24.0370;0.3540;7083.9199;404.3540;0.1870;328.9730;3.3570;36.5610;11.2230;1129.7300;7.6510;366.0000;10.0020;45.6390;;33.4430;0.0590;7.9110;6.8100;2.7200;22.5370;0.8800;;15.0560;3036.1399;0.3560;0.4090;2.2860;49.0430;0.5310;29.5320;2.6460;59.3070;22.4770
198381215;6862494;580423;KJPA;ICPSGUX;80.2550;;;1.8220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.9590;;;;;;;;17.9860;;;;;;;;;;;
198381240;6873344;589541;KJPA;ICPALSX;;9773.8398;1.5120;;32.6530;0.5840;0.1230;4897.9399;0.0581;89.1630;3.7620;13.2600;1.0640;7.0860;6.9230;3.8840;0.6500;17036.5000;4.1460;7.5910;0.5820;1.4000;1203.9700;30.7720;8.9630;0.4940;2279.0601;240.8430;0.4090;325.9010;3.2840;33.8250;6.9410;810.5110;6.3220;116.0000;8.5000;13.0630;;30.7820;0.0590;4.9620;7.6810;2.0260;15.8270;1.1940;;15.8400;1577.6600;0.1210;0.5290;2.3860;26.1070;0.4990;38.8050;3.4010;32.8630;21.8630
198381240;6873344;589541;KJPA;ICPSGUX;50.4520;;;0.6280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.4990;;;;;;;;5.8940;;;;;;;;;;;
198381253;6850044;585052;KJPA;ICPALSX;;8100.1499;1.2140;;22.8330;0.3540;0.0957;4013.9199;0.0581;49.6830;3.3310;13.1900;0.6060;3.8130;3.9600;2.2370;0.5600;14672.5000;3.1760;4.3160;0.4200;0.7990;837.4880;22.3050;6.4340;0.2800;1815.3700;180.0590;0.1910;306.3060;3.4870;22.7550;4.3910;764.0220;5.4840;55.3000;5.9210;9.7910;;26.6970;0.0720;4.4010;4.9930;1.2590;24.0890;0.6830;;8.2130;1391.7600;0.0982;0.3100;1.5360;28.4900;0.4320;20.2220;2.0480;19.7840;13.3100
198381253;6850044;585052;KJPA;ICPSGUX;45.1050;;;0.9450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0940;;;;;;;;7.7480;;;;;;;;;;;
198381268;6849740;575043;KJPA;ICPALSX;;11319.5996;1.6520;;56.9530;0.4600;0.1420;4767.3599;0.0670;82.9070;5.0580;16.1930;1.1730;11.8140;4.9720;2.8000;0.8240;19619.4004;4.4010;5.8510;0.6280;1.0010;1789.7500;38.2340;10.4770;0.3410;3171.2000;245.3270;0.3020;277.7190;2.7970;36.1100;8.0390;816.3130;7.4940;95.2000;9.6870;23.7520;;16.9960;0.1060;5.2500;6.7250;1.7500;29.7490;0.8960;;10.7060;1875.3200;0.2380;0.3760;2.6980;36.5910;0.5250;25.3450;2.3940;38.3330;17.8370
198381268;6849740;575043;KJPA;ICPSGUX;58.1860;;;0.7620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.1490;;;;;;;;9.8830;;;;;;;;;;;
198381341;6887732;575976;KJPA;ICPALSX;;12569.5000;3.6380;;43.0540;0.4990;0.4700;3810.7000;0.0615;57.2030;6.4900;24.4640;2.5160;11.2180;3.2390;1.6520;0.5430;15679.4004;4.2960;4.0460;0.3710;0.6200;1641.9399;26.0670;16.8650;0.1930;3822.6799;245.6740;0.1500;224.6050;2.6830;23.9440;14.5450;667.2950;6.5040;67.6000;6.3440;19.6160;;21.9800;0.0918;3.8890;4.8370;3.2620;17.0310;0.5870;;9.0200;1491.1801;0.2100;0.2160;2.1920;28.9650;0.7310;15.6860;1.3680;27.4320;12.5270
198381341;6887732;575976;KJPA;ICPSGUX;39.3860;;;0.5180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.3470;;;;;;;;10.1880;;;;;;;;;;;
